OBJECTID,DATE,Count_
1,2020/03/18 10:00:00+00,2
2,2020/03/19 10:00:00+00,0
3,2020/03/20 10:00:00+00,2
4,2020/03/21 10:00:00+00,0
5,2020/03/22 10:00:00+00,1
6,2020/03/23 10:00:00+00,0
7,2020/03/24 10:00:00+00,1
8,2020/03/25 10:00:00+00,0
9,2020/03/26 10:00:00+00,2
10,2020/03/27 10:00:00+00,3
11,2020/03/28 10:00:00+00,8
12,2020/03/29 10:00:00+00,7
13,2020/03/30 10:00:00+00,11
14,2020/03/31 10:00:00+00,8
15,2020/04/01 10:00:00+00,8
16,2020/04/02 10:00:00+00,11
17,2020/04/03 10:00:00+00,19
18,2020/04/04 10:00:00+00,16
19,2020/04/05 10:00:00+00,23
20,2020/04/06 10:00:00+00,16
21,2020/04/07 10:00:00+00,21
22,2020/04/08 10:00:00+00,29
23,2020/04/09 10:00:00+00,29
24,2020/04/10 10:00:00+00,34
25,2020/04/11 10:00:00+00,42
26,2020/04/12 10:00:00+00,31
27,2020/04/13 10:00:00+00,43
28,2020/04/14 10:00:00+00,36
29,2020/04/15 10:00:00+00,46
30,2020/04/16 10:00:00+00,31
31,2020/04/17 10:00:00+00,41
32,2020/04/18 10:00:00+00,39
33,2020/04/19 10:00:00+00,44
34,2020/04/20 10:00:00+00,51
35,2020/04/21 10:00:00+00,48
36,2020/04/22 10:00:00+00,47
37,2020/04/23 10:00:00+00,52
38,2020/04/24 10:00:00+00,64
39,2020/04/25 10:00:00+00,49
40,2020/04/26 10:00:00+00,51
41,2020/04/27 10:00:00+00,42
42,2020/04/28 10:00:00+00,53
43,2020/04/29 10:00:00+00,69
44,2020/04/30 10:00:00+00,60
45,2020/05/01 10:00:00+00,49
46,2020/05/02 10:00:00+00,45
47,2020/05/03 10:00:00+00,44
48,2020/05/04 10:00:00+00,53
49,2020/05/05 10:00:00+00,53
50,2020/05/06 10:00:00+00,42
51,2020/05/07 10:00:00+00,57
52,2020/05/08 10:00:00+00,64
53,2020/05/09 10:00:00+00,50
54,2020/05/10 10:00:00+00,44
55,2020/05/11 10:00:00+00,50
56,2020/05/12 10:00:00+00,48
57,2020/05/13 10:00:00+00,48
58,2020/05/14 10:00:00+00,53
59,2020/05/15 10:00:00+00,57
60,2020/05/16 10:00:00+00,48
61,2020/05/17 10:00:00+00,49
62,2020/05/18 10:00:00+00,35
63,2020/05/19 10:00:00+00,41
64,2020/05/20 10:00:00+00,34
65,2020/05/21 10:00:00+00,24
66,2020/05/22 10:00:00+00,56
67,2020/05/23 10:00:00+00,30
68,2020/05/24 10:00:00+00,36
69,2020/05/25 10:00:00+00,39
70,2020/05/26 10:00:00+00,41
71,2020/05/27 10:00:00+00,43
72,2020/05/28 10:00:00+00,44
73,2020/05/29 10:00:00+00,39
74,2020/05/30 10:00:00+00,28
75,2020/05/31 10:00:00+00,35
76,2020/06/01 10:00:00+00,31
77,2020/06/02 10:00:00+00,25
78,2020/06/03 10:00:00+00,38
79,2020/06/04 10:00:00+00,33
80,2020/06/05 10:00:00+00,31
81,2020/06/06 10:00:00+00,24
82,2020/06/07 10:00:00+00,27
83,2020/06/08 10:00:00+00,22
84,2020/06/09 10:00:00+00,26
85,2020/06/10 10:00:00+00,33
86,2020/06/11 10:00:00+00,23
87,2020/06/12 10:00:00+00,23
88,2020/06/13 10:00:00+00,18
89,2020/06/14 10:00:00+00,17
90,2020/06/15 10:00:00+00,23
91,2020/06/16 10:00:00+00,13
92,2020/06/17 10:00:00+00,22
93,2020/06/18 10:00:00+00,9
94,2020/06/19 10:00:00+00,20
95,2020/06/20 10:00:00+00,21
96,2020/06/21 10:00:00+00,13
97,2020/06/22 10:00:00+00,16
98,2020/06/23 10:00:00+00,15
99,2020/06/24 10:00:00+00,16
100,2020/06/25 10:00:00+00,11
101,2020/06/26 10:00:00+00,14
102,2020/06/27 10:00:00+00,19
103,2020/06/28 10:00:00+00,6
104,2020/06/29 10:00:00+00,15
105,2020/06/30 10:00:00+00,13
106,2020/07/01 10:00:00+00,14
107,2020/07/02 10:00:00+00,7
108,2020/07/03 10:00:00+00,17
109,2020/07/04 10:00:00+00,8
110,2020/07/05 10:00:00+00,7
111,2020/07/06 10:00:00+00,15
112,2020/07/07 10:00:00+00,11
113,2020/07/08 10:00:00+00,6
114,2020/07/09 10:00:00+00,11
115,2020/07/10 10:00:00+00,7
116,2020/07/11 10:00:00+00,13
117,2020/07/12 10:00:00+00,7
118,2020/07/13 10:00:00+00,6
119,2020/07/14 10:00:00+00,2
120,2020/07/15 10:00:00+00,11
121,2020/07/16 10:00:00+00,13
122,2020/07/17 10:00:00+00,8
123,2020/07/18 10:00:00+00,10
124,2020/07/19 10:00:00+00,11
125,2020/07/20 10:00:00+00,7
126,2020/07/21 10:00:00+00,10
127,2020/07/22 10:00:00+00,5
128,2020/07/23 10:00:00+00,9
129,2020/07/24 10:00:00+00,11
130,2020/07/25 10:00:00+00,9
131,2020/07/26 10:00:00+00,8
132,2020/07/27 10:00:00+00,10
133,2020/07/28 10:00:00+00,12
134,2020/07/29 10:00:00+00,11
135,2020/07/30 10:00:00+00,10
136,2020/07/31 10:00:00+00,7
137,2020/08/01 10:00:00+00,12
138,2020/08/02 10:00:00+00,8
139,2020/08/03 10:00:00+00,10
140,2020/08/04 10:00:00+00,9
141,2020/08/05 10:00:00+00,9
142,2020/08/06 10:00:00+00,10
143,2020/08/07 10:00:00+00,12
144,2020/08/08 10:00:00+00,8
145,2020/08/09 10:00:00+00,5
146,2020/08/10 10:00:00+00,12
147,2020/08/11 10:00:00+00,6
148,2020/08/12 10:00:00+00,12
149,2020/08/13 10:00:00+00,9
150,2020/08/14 10:00:00+00,6
151,2020/08/15 10:00:00+00,8
152,2020/08/16 10:00:00+00,3
153,2020/08/17 10:00:00+00,8
154,2020/08/18 10:00:00+00,8
155,2020/08/19 10:00:00+00,5
156,2020/08/20 10:00:00+00,6
157,2020/08/21 10:00:00+00,13
158,2020/08/22 10:00:00+00,11
159,2020/08/23 10:00:00+00,7
160,2020/08/24 10:00:00+00,0
161,2020/08/25 10:00:00+00,10
162,2020/08/26 10:00:00+00,9
163,2020/08/27 10:00:00+00,11
164,2020/08/28 10:00:00+00,11
165,2020/08/29 10:00:00+00,6
166,2020/08/30 10:00:00+00,8
167,2020/08/31 10:00:00+00,3
168,2020/09/01 10:00:00+00,6
169,2020/09/02 10:00:00+00,8
170,2020/09/03 10:00:00+00,14
171,2020/09/04 10:00:00+00,5
172,2020/09/05 10:00:00+00,7
173,2020/09/06 10:00:00+00,2
174,2020/09/07 10:00:00+00,4
175,2020/09/08 10:00:00+00,2
176,2020/09/09 10:00:00+00,8
177,2020/09/10 10:00:00+00,10
178,2020/09/11 10:00:00+00,4
179,2020/09/12 10:00:00+00,4
180,2020/09/13 10:00:00+00,3
181,2020/09/14 10:00:00+00,9
182,2020/09/15 10:00:00+00,9
183,2020/09/16 10:00:00+00,6
184,2020/09/17 10:00:00+00,5
185,2020/09/18 10:00:00+00,7
186,2020/09/19 10:00:00+00,6
187,2020/09/20 10:00:00+00,7
188,2020/09/21 10:00:00+00,5
189,2020/09/22 10:00:00+00,4
190,2020/09/23 10:00:00+00,12
191,2020/09/24 10:00:00+00,3
192,2020/09/25 10:00:00+00,8
193,2020/09/26 10:00:00+00,7
194,2020/09/27 10:00:00+00,5
195,2020/09/28 10:00:00+00,7
196,2020/09/29 10:00:00+00,3
197,2020/09/30 10:00:00+00,2
198,2020/10/01 10:00:00+00,8
199,2020/10/02 10:00:00+00,8
200,2020/10/03 10:00:00+00,3
201,2020/10/04 10:00:00+00,6
202,2020/10/05 10:00:00+00,7
203,2020/10/06 10:00:00+00,7
204,2020/10/07 10:00:00+00,10
205,2020/10/08 10:00:00+00,6
206,2020/10/09 10:00:00+00,8
207,2020/10/10 10:00:00+00,5
208,2020/10/11 10:00:00+00,6
209,2020/10/12 10:00:00+00,3
210,2020/10/13 10:00:00+00,10
211,2020/10/14 10:00:00+00,5
212,2020/10/15 10:00:00+00,5
213,2020/10/16 10:00:00+00,7
214,2020/10/17 10:00:00+00,3
215,2020/10/18 10:00:00+00,8
216,2020/10/19 10:00:00+00,6
217,2020/10/20 10:00:00+00,12
218,2020/10/21 10:00:00+00,8
219,2020/10/22 10:00:00+00,10
220,2020/10/23 10:00:00+00,7
221,2020/10/24 10:00:00+00,6
222,2020/10/25 10:00:00+00,6
223,2020/10/26 10:00:00+00,4
224,2020/10/27 10:00:00+00,6
225,2020/10/28 10:00:00+00,12
226,2020/10/29 10:00:00+00,13
227,2020/10/30 10:00:00+00,10
228,2020/10/31 10:00:00+00,8
229,2020/11/01 10:00:00+00,5
230,2020/11/02 10:00:00+00,6
231,2020/11/03 10:00:00+00,13
232,2020/11/04 10:00:00+00,11
233,2020/11/05 10:00:00+00,14
234,2020/11/06 10:00:00+00,11
235,2020/11/07 10:00:00+00,13
236,2020/11/08 10:00:00+00,8
237,2020/11/09 10:00:00+00,12
238,2020/11/10 10:00:00+00,15
239,2020/11/11 10:00:00+00,11
240,2020/11/12 10:00:00+00,18
241,2020/11/13 10:00:00+00,20
242,2020/11/14 10:00:00+00,12
243,2020/11/15 10:00:00+00,16
244,2020/11/16 10:00:00+00,16
245,2020/11/17 10:00:00+00,19
246,2020/11/18 10:00:00+00,22
247,2020/11/19 10:00:00+00,16
248,2020/11/20 10:00:00+00,19
249,2020/11/21 10:00:00+00,36
250,2020/11/22 10:00:00+00,19
251,2020/11/23 10:00:00+00,32
252,2020/11/24 10:00:00+00,29
253,2020/11/25 10:00:00+00,34
254,2020/11/26 10:00:00+00,31
255,2020/11/27 10:00:00+00,35
256,2020/11/28 10:00:00+00,32
257,2020/11/29 10:00:00+00,23
258,2020/11/30 10:00:00+00,33
259,2020/12/01 10:00:00+00,42
260,2020/12/02 10:00:00+00,42
261,2020/12/03 10:00:00+00,29
262,2020/12/04 10:00:00+00,35
263,2020/12/05 10:00:00+00,35
264,2020/12/06 10:00:00+00,40
265,2020/12/07 10:00:00+00,44
266,2020/12/08 10:00:00+00,47
267,2020/12/09 10:00:00+00,43
268,2020/12/10 10:00:00+00,53
269,2020/12/11 10:00:00+00,50
270,2020/12/12 10:00:00+00,50
271,2020/12/13 10:00:00+00,40
272,2020/12/14 10:00:00+00,50
273,2020/12/15 10:00:00+00,48
274,2020/12/16 10:00:00+00,54
275,2020/12/17 10:00:00+00,45
276,2020/12/18 10:00:00+00,58
277,2020/12/19 10:00:00+00,51
278,2020/12/20 10:00:00+00,30
279,2020/12/21 10:00:00+00,50
280,2020/12/22 10:00:00+00,48
281,2020/12/23 10:00:00+00,42
282,2020/12/24 10:00:00+00,42
283,2020/12/25 10:00:00+00,34
284,2020/12/26 10:00:00+00,52
285,2020/12/27 10:00:00+00,42
286,2020/12/28 10:00:00+00,53
287,2020/12/29 10:00:00+00,51
288,2020/12/30 10:00:00+00,49
289,2020/12/31 10:00:00+00,44
290,2021/01/01 10:00:00+00,42
291,2021/01/02 10:00:00+00,44
292,2021/01/03 10:00:00+00,44
293,2021/01/04 10:00:00+00,37
294,2021/01/05 10:00:00+00,44
295,2021/01/06 10:00:00+00,37
296,2021/01/07 10:00:00+00,28
297,2021/01/08 10:00:00+00,48
298,2021/01/09 10:00:00+00,44
299,2021/01/10 10:00:00+00,36
300,2021/01/11 10:00:00+00,47
301,2021/01/12 10:00:00+00,56
302,2021/01/13 10:00:00+00,35
303,2021/01/14 10:00:00+00,51
304,2021/01/15 10:00:00+00,42
305,2021/01/16 10:00:00+00,40
306,2021/01/17 10:00:00+00,49
307,2021/01/18 10:00:00+00,53
308,2021/01/19 10:00:00+00,49
309,2021/01/20 10:00:00+00,46
310,2021/01/21 10:00:00+00,44
311,2021/01/22 10:00:00+00,40
312,2021/01/23 10:00:00+00,43
313,2021/01/24 10:00:00+00,53
314,2021/01/25 10:00:00+00,47
315,2021/01/26 10:00:00+00,36
316,2021/01/27 10:00:00+00,43
317,2021/01/28 10:00:00+00,34
318,2021/01/29 10:00:00+00,31
319,2021/01/30 10:00:00+00,36
320,2021/01/31 10:00:00+00,30
321,2021/02/01 10:00:00+00,31
322,2021/02/02 10:00:00+00,18
323,2021/02/03 10:00:00+00,53
324,2021/02/04 10:00:00+00,31
325,2021/02/05 10:00:00+00,35
326,2021/02/06 10:00:00+00,23
327,2021/02/07 10:00:00+00,37
328,2021/02/08 10:00:00+00,45
329,2021/02/09 10:00:00+00,35
330,2021/02/10 10:00:00+00,33
331,2021/02/11 10:00:00+00,27
332,2021/02/12 10:00:00+00,29
333,2021/02/13 10:00:00+00,26
334,2021/02/14 10:00:00+00,34
335,2021/02/15 10:00:00+00,22
336,2021/02/16 10:00:00+00,27
337,2021/02/17 10:00:00+00,27
338,2021/02/18 10:00:00+00,23
339,2021/02/19 10:00:00+00,28
340,2021/02/20 10:00:00+00,26
341,2021/02/21 10:00:00+00,28
342,2021/02/22 10:00:00+00,27
343,2021/02/23 10:00:00+00,13
344,2021/02/24 10:00:00+00,22
345,2021/02/25 10:00:00+00,30
346,2021/02/26 10:00:00+00,15
347,2021/02/27 10:00:00+00,14
348,2021/02/28 10:00:00+00,15
349,2021/03/01 10:00:00+00,11
350,2021/03/02 10:00:00+00,11
351,2021/03/03 10:00:00+00,12
352,2021/03/04 10:00:00+00,10
353,2021/03/05 10:00:00+00,17
354,2021/03/06 10:00:00+00,17
355,2021/03/07 10:00:00+00,16
356,2021/03/08 10:00:00+00,24
357,2021/03/09 10:00:00+00,15
358,2021/03/10 10:00:00+00,19
359,2021/03/11 10:00:00+00,13
360,2021/03/12 10:00:00+00,9
361,2021/03/13 10:00:00+00,16
362,2021/03/14 10:00:00+00,12
363,2021/03/15 10:00:00+00,17
364,2021/03/16 10:00:00+00,22
365,2021/03/17 10:00:00+00,15
366,2021/03/18 10:00:00+00,12
367,2021/03/19 10:00:00+00,19
368,2021/03/20 10:00:00+00,18
369,2021/03/21 10:00:00+00,16
370,2021/03/22 10:00:00+00,15
371,2021/03/23 10:00:00+00,15
372,2021/03/24 10:00:00+00,12
373,2021/03/25 10:00:00+00,8
374,2021/03/26 10:00:00+00,16
375,2021/03/27 10:00:00+00,9
376,2021/03/28 10:00:00+00,15
377,2021/03/29 10:00:00+00,9
378,2021/03/30 10:00:00+00,17
379,2021/03/31 10:00:00+00,20
380,2021/04/01 10:00:00+00,18
381,2021/04/02 10:00:00+00,16
382,2021/04/03 10:00:00+00,15
383,2021/04/04 10:00:00+00,15
384,2021/04/05 10:00:00+00,15
385,2021/04/06 10:00:00+00,16
386,2021/04/07 10:00:00+00,17
387,2021/04/08 10:00:00+00,20
388,2021/04/09 10:00:00+00,19
389,2021/04/10 10:00:00+00,21
390,2021/04/11 10:00:00+00,23
391,2021/04/12 10:00:00+00,11
392,2021/04/13 10:00:00+00,15
393,2021/04/14 10:00:00+00,20
394,2021/04/15 10:00:00+00,11
395,2021/04/16 10:00:00+00,11
396,2021/04/17 10:00:00+00,16
397,2021/04/18 10:00:00+00,17
398,2021/04/19 10:00:00+00,20
399,2021/04/20 10:00:00+00,21
400,2021/04/21 10:00:00+00,20
401,2021/04/22 10:00:00+00,11
402,2021/04/23 10:00:00+00,18
403,2021/04/24 10:00:00+00,13
404,2021/04/25 10:00:00+00,11
405,2021/04/26 10:00:00+00,22
406,2021/04/27 10:00:00+00,9
407,2021/04/28 10:00:00+00,17
408,2021/04/29 10:00:00+00,21
409,2021/04/30 10:00:00+00,16
410,2021/05/01 10:00:00+00,13
411,2021/05/02 10:00:00+00,20
412,2021/05/03 10:00:00+00,10
413,2021/05/04 10:00:00+00,12
414,2021/05/05 10:00:00+00,10
415,2021/05/06 10:00:00+00,10
416,2021/05/07 10:00:00+00,8
417,2021/05/08 10:00:00+00,13
418,2021/05/09 10:00:00+00,14
419,2021/05/10 10:00:00+00,7
420,2021/05/11 10:00:00+00,10
421,2021/05/12 10:00:00+00,19
422,2021/05/13 10:00:00+00,15
423,2021/05/14 10:00:00+00,11
424,2021/05/15 10:00:00+00,3
425,2021/05/16 10:00:00+00,11
426,2021/05/17 10:00:00+00,13
427,2021/05/18 10:00:00+00,9
428,2021/05/19 10:00:00+00,11
429,2021/05/20 10:00:00+00,17
430,2021/05/21 10:00:00+00,7
431,2021/05/22 10:00:00+00,9
432,2021/05/23 10:00:00+00,3
433,2021/05/24 10:00:00+00,11
434,2021/05/25 10:00:00+00,8
435,2021/05/26 10:00:00+00,9
436,2021/05/27 10:00:00+00,10
437,2021/05/28 10:00:00+00,6
438,2021/05/29 10:00:00+00,10
439,2021/05/30 10:00:00+00,5
440,2021/05/31 10:00:00+00,3
441,2021/06/01 10:00:00+00,4
442,2021/06/02 10:00:00+00,2
443,2021/06/03 10:00:00+00,6
444,2021/06/04 10:00:00+00,5
445,2021/06/05 10:00:00+00,6
446,2021/06/06 10:00:00+00,4
447,2021/06/07 10:00:00+00,2
448,2021/06/08 10:00:00+00,6
449,2021/06/09 10:00:00+00,5
450,2021/06/10 10:00:00+00,6
451,2021/06/11 10:00:00+00,3
452,2021/06/12 10:00:00+00,2
453,2021/06/13 10:00:00+00,2
454,2021/06/14 10:00:00+00,5
455,2021/06/15 10:00:00+00,3
456,2021/06/16 10:00:00+00,3
457,2021/06/17 10:00:00+00,5
458,2021/06/18 10:00:00+00,4
459,2021/06/19 10:00:00+00,2
460,2021/06/20 10:00:00+00,4
461,2021/06/21 10:00:00+00,6
462,2021/06/22 10:00:00+00,2
463,2021/06/23 10:00:00+00,2
464,2021/06/24 10:00:00+00,2
465,2021/06/25 10:00:00+00,4
466,2021/06/26 10:00:00+00,3
467,2021/06/27 10:00:00+00,1
468,2021/06/28 10:00:00+00,1
469,2021/06/29 10:00:00+00,0
470,2021/06/30 10:00:00+00,4
471,2021/07/01 10:00:00+00,5
472,2021/07/02 10:00:00+00,2
473,2021/07/03 10:00:00+00,2
474,2021/07/04 10:00:00+00,1
475,2021/07/05 10:00:00+00,1
476,2021/07/06 10:00:00+00,1
477,2021/07/07 10:00:00+00,2
478,2021/07/08 10:00:00+00,2
479,2021/07/09 10:00:00+00,0
480,2021/07/10 10:00:00+00,1
481,2021/07/11 10:00:00+00,0
482,2021/07/12 10:00:00+00,3
483,2021/07/13 10:00:00+00,4
484,2021/07/14 10:00:00+00,1
485,2021/07/15 10:00:00+00,3
486,2021/07/16 10:00:00+00,3
